,Name,Yrs_College,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS
0,Brian Evans,4,Indiana,Big Ten,31,37.3,6.8,15.3,.447,4.8,10.2,.475,2.0,5.1,.392,5.5,6.5,.847,7.1,4.1,1.4,0.6,2.3,1.8,21.2,10.87
0,Travis Knight,4,UConn,Big East,34,25.1,3.7,7.1,.521,3.7,7.1,.521,0.0,0.0,,1.7,2.5,.694,9.3,2.1,0.7,2.0,2.3,2.4,9.1,8.19
0,Othella Harrington,4,Georgetown,Big East,37,26.6,4.4,7.8,.559,4.4,7.7,.563,0.0,0.1,.000,3.5,4.7,.741,6.9,1.2,0.8,1.6,1.8,2.5,12.2,9.83
0,Mark Hendrickson,4,Washington State,Pac-10,23,33.2,5.5,9.7,.572,5.2,8.3,.623,0.3,1.3,.258,5.1,7.2,.709,9.5,1.6,0.9,0.2,2.8,3.0,16.5,5.86
0,Moochie Norris,1,Auburn,SEC,29,34.8,4.3,10.8,.397,2.3,5.2,.444,2.0,5.6,.354,2.0,2.9,.699,4.0,4.9,1.8,0.0,2.6,1.9,12.5,6.98
0,Jeff McInnis,3,UNC,ACC,31,34.4,5.7,13.2,.435,3.6,7.7,.466,2.2,5.5,.392,2.8,3.5,.800,2.6,5.5,1.2,0.0,2.5,2.3,16.5,11.42
0,Steve Hamer,4,Tennessee,SEC,29,33.0,6.4,11.2,.575,6.4,11.2,.575,0.0,0.0,,5.3,8.7,.615,9.4,1.0,0.4,1.3,2.9,2.9,18.2,9.20
0,Jason Sasser,4,Texas Tech,SWC,31,34.5,6.5,14.2,.458,5.5,11.0,.503,1.0,3.3,.307,5.5,7.5,.726,7.8,2.9,0.7,0.1,2.8,2.1,19.5,2.11
0,Randy Livingston,2,LSU,SEC,13,24.5,1.8,6.4,.289,1.8,4.8,.365,0.1,1.5,.050,2.3,2.9,.789,2.3,5.3,2.1,0.2,2.8,1.8,6.1,5.14
0,Ben Davis,3,Arizona,Pac-10,33,31.5,5.2,9.5,.546,5.2,9.5,.546,0.0,0.0,,3.8,5.6,.690,9.5,0.7,0.6,0.6,2.3,2.8,14.2,8.42
0,Malik Rose,4,Drexel,NAC,31,31.4,7.1,11.9,.595,6.8,11.2,.611,0.2,0.7,.333,5.9,8.2,.714,13.2,1.7,1.1,1.0,2.8,2.7,20.2,-5.06
0,Marcus Brown,4,Murray State,OVC,29,37.2,8.8,18.5,.474,6.2,12.4,.499,2.6,6.0,.423,6.4,7.6,.841,4.8,4.1,2.2,0.3,3.5,2.8,26.4,-3.01
0,Jamie Feick,4,Michigan State,Big Ten,32,30.8,3.6,8.4,.433,3.0,6.3,.473,0.6,2.0,.308,2.2,3.6,.617,9.5,2.3,0.8,0.4,2.2,2.3,10.1,9.04
0,Amal McCaskill,4,Marquette,CUSA,30,26.5,4.1,7.5,.549,4.1,7.4,.550,0.0,0.1,.500,2.1,3.2,.649,8.9,1.3,0.6,1.8,2.6,3.6,10.3,4.93
0,Chris Robinson,4,Western Kentucky,Sun Belt,26,33.1,6.3,13.8,.455,5.1,9.9,.518,1.2,3.9,.297,3.1,4.6,.675,6.2,2.3,2.6,0.7,2.5,3.4,16.8,0.85
0,Mark Pope,5,Kentucky,SEC,36,20.3,2.6,5.4,.482,2.2,4.2,.520,0.4,1.3,.356,2.0,2.9,.683,5.2,1.0,1.0,1.2,1.4,2.8,7.6,10.06
0,Jeff Nordgaard,4,Green Bay,MW Coll,29,39.8,9.6,17.2,.554,9.3,16.4,.566,0.3,0.9,.320,3.2,4.5,.710,6.3,2.3,1.0,0.3,1.8,1.9,22.6,-0.88
0,Shandon Anderson,4,Georgia,SEC,31,28.7,5.7,10.5,.538,5.2,8.9,.582,0.5,1.7,.308,3.0,4.6,.657,5.5,2.7,1.8,0.5,2.5,2.4,14.9,8.14
0,Reggie Geary,4,Arizona,Pac-10,33,33.0,3.3,7.6,.432,1.9,4.0,.474,1.4,3.5,.385,1.9,2.6,.733,3.6,7.0,2.0,0.7,3.3,3.3,9.8,8.42
0,Drew Barry,4,Georgia Tech,ACC,36,36.5,4.1,10.2,.406,2.0,4.4,.456,2.1,5.8,.368,2.9,3.7,.789,4.6,6.6,1.8,0.4,3.6,1.9,13.3,12.71
0,Tim Duncan,4,Wake Forest,ACC,31,36.7,7.5,12.4,.608,7.4,11.7,.628,0.2,0.7,.273,5.5,8.7,.636,14.7,3.2,0.7,3.3,3.2,2.2,20.8,10.53
0,Keith Van Horn,4,Utah,WAC,32,31.5,7.8,15.8,.492,5.9,11.1,.537,1.8,4.7,.387,4.7,5.2,.904,9.5,1.4,0.7,1.2,2.5,1.9,22.0,5.44
0,Chauncey Billups,2,Colorado,Big 12,29,32.7,5.2,12.7,.413,2.7,6.2,.425,2.6,6.4,.401,6.1,7.1,.854,4.9,4.8,2.1,0.1,2.9,1.8,19.1,6.24
0,Antonio Daniels,4,Bowling Green State,MAC,32,36.3,8.7,15.9,.547,7.3,12.7,.576,1.4,3.3,.433,5.1,6.6,.777,2.8,6.8,2.3,0.3,3.2,1.6,24.0,1.56
0,Tony Battie,3,Texas Tech,Big 12,28,34.9,7.4,12.7,.579,7.1,12.1,.588,0.2,0.6,.375,3.8,5.8,.656,11.8,0.8,0.9,2.5,2.8,3.0,18.8,6.72
0,Ron Mercer,2,Kentucky,SEC,40,32.5,7.4,15.1,.493,6.2,11.6,.537,1.2,3.5,.348,2.1,2.6,.781,5.3,2.4,1.7,0.3,1.7,2.4,18.1,9.20
0,Tim Thomas,1,Villanova,Big East,32,31.4,5.8,13.0,.450,4.4,8.6,.507,1.5,4.4,.336,3.8,4.8,.796,6.0,2.1,1.8,1.0,2.8,2.8,16.9,9.45
0,Adonal Foyle,3,Colgate,Patriot,28,37.7,9.9,17.5,.565,9.9,17.3,.571,0.0,0.3,.143,4.5,9.3,.487,13.1,1.9,0.7,6.4,4.2,2.1,24.4,-6.42
0,Danny Fortson,3,Cincinnati,CUSA,33,29.9,7.4,11.9,.620,7.4,11.8,.621,0.0,0.0,.000,6.6,8.5,.772,9.1,1.1,0.6,0.5,3.0,3.3,21.3,5.44
0,Tariq Abdul-Wahad,4,San Jose State,WAC,26,33.4,8.7,17.6,.492,7.7,14.8,.516,1.0,2.7,.366,5.5,7.5,.730,8.8,1.1,1.5,0.7,2.6,2.4,23.8,4.15
0,Austin Croshere,4,Providence,Big East,36,33.1,5.6,12.2,.455,3.9,7.4,.525,1.7,4.9,.349,5.1,5.7,.888,7.5,1.5,1.1,0.7,2.6,2.6,17.9,8.32
0,Derek Anderson,5,Kentucky,SEC,19,25.3,5.8,11.9,.491,3.8,6.9,.553,2.0,4.9,.404,4.1,5.0,.811,4.1,3.5,1.9,0.1,1.7,2.1,17.7,9.20
0,Maurice Taylor,3,Michigan,Big Ten,35,30.1,4.9,9.7,.507,4.9,9.6,.512,0.0,0.1,.200,2.4,3.3,.718,6.2,1.1,0.7,0.9,2.0,2.7,12.3,10.53
0,Kelvin Cato,4,Iowa State,Big 12,28,28.6,4.6,11.2,.408,4.6,11.2,.409,0.0,0.0,.000,2.2,4.0,.540,8.4,0.5,0.9,4.2,1.7,2.9,11.3,6.30
0,Brevin Knight,4,Stanford,Pac-10,30,32.0,4.6,11.4,.408,3.1,7.7,.407,1.5,3.7,.409,5.5,6.6,.834,3.7,7.8,2.8,0.1,3.4,2.8,16.3,9.05
